File Name,Correct/Incorrect
ï»¿File Name,0
51,0
76,0
81,0
84,0
99,0
101,0
183,1
273,1
274,0
310,0
327,0
365,0
379,0
408,0
413,0
487,0
507,1
516,0
584,0
653,0
695,0
738,1
858,0
870,0
900,0
930,0
1036,0
1039,0
1046,0
1061,1
1066,1
1119,1
1123,0
1150,1
1158,0
1247,0
1279,0
1300,1
1330,0
1334,0
1338,0
1364,1
1390,0
1440,0
1511,0
1524,1
1534,1
1547,0
1596,0
1653,0
1655,0
1681,0
1717,0
1780,0
1808,0
1822,0
1830,1
1876,0
1893,0
1965,1
1972,1
1986,1
1994,0
2009,0
2112,0
2151,0
2235,0
2270,1
2271,1
2278,0
2302,0
2354,0
2403,0
2425,0
2507,0
2553,0
2557,0
2561,0
2631,0
2646,0
2686,0
2739,0
2780,0
2829,1
2867,0
2941,0
2972,0
2977,0
3026,0
3027,0
3084,0
3120,1
3133,0
3164,1
3167,0
3233,0
3246,0
3283,1
3294,1
3312,1
3321,0
3345,1
3350,0
3408,0
3483,0
3705,0
3709,0
3730,1
3753,0
3851,0
3853,0
3867,0
3883,0
3897,0
3917,0
3923,0
3932,0
3947,0
3982,0
3987,0
3995,0
4014,0
4019,1
4021,0
4061,0
4083,0
4085,0
4107,1
4111,0
4140,0
4185,1
4237,0
4262,0
4286,0
4302,1
4305,0
4347,0
4419,0
4473,0
4487,0
4490,0
4549,1
4563,0
4594,0
4611,1
4636,0
4660,0
4664,0
4724,0
4734,0
4736,0
4740,0
4753,0
4757,0
4801,0
4849,1
4896,0
4910,1
4930,0
4933,1
4947,1
4955,0
4957,0
5000,0
5162,1
5164,0
5213,0
5227,0
5230,0
5265,0
5293,1
5374,1
5380,0
5445,0
5480,0
5491,0
5493,0
5537,0
5609,0
5619,0
5640,0
5645,0
5647,0
5725,0
5756,1
5889,0
5959,0
5967,0
5969,0
5996,0
6013,0
6066,0
6108,0
6121,0
6133,1
6134,0
6200,0
6214,0
6229,0
6245,1
6247,1
6253,1
6362,0
6382,0
6423,0
6438,0
6461,0
6476,1
6572,0
6579,0
6622,1
6651,0
6681,0
6717,0
6732,0
6749,0
6879,0
6882,0
6966,0
6999,0
7055,0
7107,1
7110,0
7149,0
7208,0
7217,0
7243,0
7305,0
7312,0
7329,0
7334,1
7335,0
7349,0
7371,1
7381,0
7403,1
7468,1
7489,0
7515,0
7517,0
7526,0
7566,0
7643,1
7697,0
7714,0
7750,0
7768,0
7770,1
7782,0
7796,1
7808,0
7830,0
7844,0
7862,0
7880,0
7957,0
8079,0
8123,1
8128,0
8134,1
8141,0
8154,0
8167,0
8272,0
8286,0
8330,0
8341,0
8414,1
8461,0
8493,0
8512,1
8546,1
8586,0
8620,0
8667,0
8681,0
8718,0
8736,0
8758,1
8763,0
8802,0
8806,0
8836,0
8852,0
8916,1
8935,0
8997,0
9020,0
9026,0
9031,0
9038,0
9047,0
9075,0
9101,0
9113,0
9115,0
9200,0
9205,0
9226,1
9245,1
9255,0
9257,0
9264,0
9270,0
9302,0
9347,0
9382,0
9384,1
9405,0
9453,0
9465,0
9545,0
9554,0
9593,0
9618,0
9638,0
9661,0
9710,0
9727,0
9747,0
9783,0
9802,0
9845,0
9855,0
9865,0
9889,0
9947,0
9996,0
10060,1
10082,0
10090,0
10106,1
10158,0
10166,0
10173,0
10225,1
10307,0
10424,1
10469,0
10475,0
10531,0
10561,1
10625,0
10638,0
10674,0
10676,0
10677,0
10702,0
10760,0
10806,0
10807,0
10817,0
10894,0
10913,1
10930,0
10934,0
11015,0
11059,0
11102,0
11109,0
11158,1
11170,0
11194,0
11256,1
11285,0
11322,0
11422,0
11433,0
11445,0
11461,0
11501,1
11520,0
11573,0
11575,1
11577,0
11580,0
11589,0
11671,0
11704,0
11720,0
11763,0
11771,0
11776,0
11792,0
11805,0
11817,1
11818,1
11832,1
11849,0
11909,0
11915,0
11916,0
12023,0
12098,0
12183,1
12199,1
12259,0
12278,0
12285,1
12298,0
12312,1
12356,1
12420,0
12453,1
12491,0
12516,1
12554,0
12563,0
12575,0
12582,1
12715,1
12751,0
12753,0
12785,0
12791,0
12920,1
12975,0
12985,0
13012,0
13066,0
13074,0
13176,0
13192,0
13261,0
13318,0
13326,0
13330,0
13335,0
13434,1
13458,1
13481,0
13491,1
13542,1
13545,0
13552,0
13580,0
13585,0
13610,0
13662,0
13683,0
13684,0
13831,0
13838,0
13845,0
13852,0
13894,0
13900,0
13949,0
13984,0
14017,0
14042,0
14176,1
14200,1
14208,0
14215,1
14308,0
14351,1
14395,0
14438,0
14444,0
14478,0
14484,0
14496,0
14498,0
14524,0
14526,1
14531,0
14636,1
14685,0
14715,0
14735,0
14747,0
14755,0
14759,0
14801,0
14901,0
14926,0
14953,0
14970,0
14982,0
14996,0
15046,0
15063,0
15080,0
15200,0
15276,0
15302,0
15325,1
15375,1
15378,0
15387,1
15415,0
15437,0
15450,1
15455,0
15508,1
15552,0
15576,0
15602,0
15638,0
15649,0
15717,0
15720,0
15723,0
15731,0
15750,0
15765,0
15781,0
15786,0
15846,0
15847,0
15849,0
15902,0
15935,1
16039,0
16084,0
16094,0
16110,0
16135,0
16158,0
16161,0
16177,0
16193,0
16197,0
16300,0
16347,0
16360,0
16378,1
16384,0
16393,0
16408,1
16445,0
16446,1
16449,0
16464,0
16526,0
16530,0
16591,0
16617,0
16637,0
16685,0
16687,0
16690,0
16698,1
16704,1
16749,0
16787,0
16822,1
16858,0
16900,0
16909,1
16964,1
16995,1
17023,0
17080,0
17108,0
17219,0
17233,0
17245,1
17253,0
17255,0
17365,1
17386,0
17392,0
17465,0
17596,0
17800,0
17802,0
17804,0
17832,0
17833,1
17839,1
17850,1
17878,0
17950,0
18004,0
18040,0
18069,0
18080,0
18081,1
18093,0
18121,1
18126,0
18130,0
18168,0
18169,0
18174,1
18179,0
18200,0
18210,1
18254,0
18285,0
18304,0
18427,1
18506,0
18510,0
18513,1
18562,0
18599,0
18688,0
18750,0
18800,0
18802,0
18818,0
18825,0
18847,1
18862,0
18970,0
19021,0
19083,0
19086,1
19201,1
19222,0
19239,0
19275,0
19309,1
19313,0
19321,1
19322,0
19341,0
19382,0
19409,0
19442,0
19458,0
19471,0
19475,0
19497,0
19506,0
19562,0
19575,0
19632,1
19655,0
19685,0
19734,0
19754,0
19759,1
19821,0
19839,0
19847,1
19911,0
19944,1
19951,1
19968,0
20009,0
20025,0
20050,0
20097,0
20110,0
20118,0
20155,0
20213,0
20214,0
20321,1
20338,0
20415,0
20420,0
20456,0
20469,0
20492,0
20503,0
20538,1
20579,0
20594,0
20698,0
20721,0
20747,1
20778,0
20789,0
20829,0
20850,0
20859,0
20861,0
20901,0
20914,0
20943,0
21005,0
21023,0
21030,0
21048,0
21080,0
21124,0
21165,0
21171,0
21189,1
21205,0
21219,0
21261,0
21267,1
21289,1
21295,1
21322,0
21327,0
21330,1
21335,0
21351,0
21394,0
21403,0
21413,0
21441,0
21500,0
21511,0
21523,1
21540,0
21541,0
21548,0
21550,0
21652,0
21668,1
21704,1
21708,0
21748,1
21767,0
21773,0
21782,0
21867,1
21888,0
21899,0
21939,0
21953,0
22006,0
22013,0
22053,0
22077,0
22094,0
22113,0
22146,0
22155,0
22174,0
22178,1
22217,0
22270,0
22313,0
22327,0
22334,0
22363,0
22364,0
22498,0
22499,0
22505,0
22519,0
22524,0
22582,0
22584,0
22601,0
22607,0
22662,0
22739,0
22743,0
22750,0
22781,0
22787,0
22788,1
22815,0
22918,0
22931,0
23017,0
23039,0
23190,0
23235,0
23249,0
23300,0
23305,0
23345,1
23347,0
23391,0
23422,1
23467,1
23532,0
23539,0
23572,0
23595,1
23626,0
23680,0
23696,1
23763,0
23765,1
23788,0
23805,1
23809,0
23850,0
23863,0
23887,1
23891,0
23934,0
24042,0
24071,0
24079,1
24092,0
24102,1
24105,1
24117,0
24148,0
24182,0
24183,0
24202,0
24216,0
24240,0
24255,0
24289,0
